,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
908,manufacturing,material,0.48361469712015887,0.6931479642502483,0.40913604766633566,0.8459958932238194,1.2205126998229028,0.07391950487599713,1.9924925521350558,0.3498786407766991
743,creation,document,0.5700099304865939,0.7418073485600795,0.4985104270109235,0.8745644599303135,1.1789644058230597,0.0756728718237481,2.0583691934238098,0.3530266923069843
901,image,git,0.4925521350546177,0.7120158887785502,0.4131082423038729,0.8387096774193548,1.1779367436001258,0.06240329609318679,1.7855014895729882,0.29768177028450993
905,failure,git,0.5014895729890765,0.7120158887785502,0.41211519364448856,0.8217821782178217,1.1541626966043883,0.05504664961949568,1.6159108462981349,0.2679402870445926
879,image,processing,0.4925521350546177,0.7606752730883813,0.4270109235352532,0.8669354838709676,1.1396919481175776,0.052338693692316585,1.7985615840630722,0.24154189232239542
786,creation,database,0.5700099304865939,0.733862959285005,0.4766633565044687,0.8362369337979094,1.139500124945189,0.05835418209573695,1.625134695429863,0.28470939183987665
706,api,database,0.6305858987090367,0.733862959285005,0.5263157894736842,0.8346456692913385,1.1373317848124194,0.06355215576367612,1.6094954367049694,0.32686650436193954
854,image,review,0.4925521350546177,0.7954319761668321,0.43793445878848064,0.8891129032258064,1.1177736498731423,0.04614274063679369,1.844831633113658,0.20763608770318306
700,api,processing,0.6305858987090367,0.7606752730883813,0.535253227408143,0.8488188976377953,1.1158754959807569,0.05558212670196411,1.5830333498841442,0.28110100345123384
681,api,MATLAB M-File,0.6305858987090367,0.7944389275074478,0.5580933465739821,0.8850393700787402,1.1140433070866143,0.05713136150225484,1.7880997401749412,0.27711131519534693
715,api,document,0.6305858987090367,0.7418073485600795,0.5203574975173784,0.8251968503937008,1.1124139603031549,0.05258424395665301,1.4770480510301764,0.2735522859722565
652,git,document,0.7120158887785502,0.7418073485600795,0.5819265143992055,0.8172942817294281,1.1017608322644366,0.053747895811740776,1.4131613059726942,0.32071907732140714
644,git,processing,0.7120158887785502,0.7606752730883813,0.5938430983118173,0.8340306834030683,1.0964345929332764,0.05223021767192704,1.441981757946475,0.3054088340445159
