,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
908,manufacturing,material,0.48361469712015887,0.6931479642502483,0.40913604766633566,0.8459958932238194,1.2205126998229028,0.07391950487599713,1.9924925521350558,0.3498786407766991
743,creation,document,0.5700099304865939,0.7418073485600795,0.4985104270109235,0.8745644599303135,1.1789644058230597,0.0756728718237481,2.0583691934238098,0.3530266923069843
901,image,git,0.4925521350546177,0.7120158887785502,0.4131082423038729,0.8387096774193548,1.1779367436001258,0.06240329609318679,1.7855014895729882,0.29768177028450993
905,failure,git,0.5014895729890765,0.7120158887785502,0.41211519364448856,0.8217821782178217,1.1541626966043883,0.05504664961949568,1.6159108462981349,0.2679402870445926
721,api,git,0.6305858987090367,0.7120158887785502,0.5153922542204568,0.8173228346456692,1.1478997133726485,0.06640507509992122,1.5764647467725914,0.34877866865560325
879,image,processing,0.4925521350546177,0.7606752730883813,0.4270109235352532,0.8669354838709676,1.1396919481175776,0.052338693692316585,1.7985615840630722,0.24154189232239542
786,creation,database,0.5700099304865939,0.733862959285005,0.4766633565044687,0.8362369337979094,1.139500124945189,0.05835418209573695,1.625134695429863,0.28470939183987665
706,api,database,0.6305858987090367,0.733862959285005,0.5263157894736842,0.8346456692913385,1.1373317848124194,0.06355215576367612,1.6094954367049694,0.32686650436193954
918,image,database,0.4925521350546177,0.733862959285005,0.4051638530287984,0.8225806451612903,1.1208913527434632,0.04369808559546923,1.5000451385754259,0.21253981044472572
854,image,review,0.4925521350546177,0.7954319761668321,0.43793445878848064,0.8891129032258064,1.1177736498731423,0.04614274063679369,1.844831633113658,0.20763608770318306
700,api,processing,0.6305858987090367,0.7606752730883813,0.535253227408143,0.8488188976377953,1.1158754959807569,0.05558212670196411,1.5830333498841442,0.28110100345123384
681,api,MATLAB M-File,0.6305858987090367,0.7944389275074478,0.5580933465739821,0.8850393700787402,1.1140433070866143,0.05713136150225484,1.7880997401749412,0.27711131519534693
715,api,document,0.6305858987090367,0.7418073485600795,0.5203574975173784,0.8251968503937008,1.1124139603031549,0.05258424395665301,1.4770480510301764,0.2735522859722565
780,creation,processing,0.5700099304865939,0.7606752730883813,0.4786494538232373,0.8397212543554006,1.103915539341891,0.045056994287258234,1.4931781874703152,0.21892039519707113
652,git,document,0.7120158887785502,0.7418073485600795,0.5819265143992055,0.8172942817294281,1.1017608322644366,0.053747895811740776,1.4131613059726942,0.32071907732140714
796,training,review,0.5362462760675273,0.7954319761668321,0.46971201588877853,0.8759259259259259,1.101195265177787,0.043164580804280706,1.6487572070135912,0.1981565568538331
849,failure,review,0.5014895729890765,0.7954319761668321,0.43892750744786496,0.8752475247524752,1.1003423937899408,0.040026665378103066,1.639791302154758,0.1829289178129114
800,training,evaluation,0.5362462760675273,0.7934458788480635,0.46772591857000995,0.8722222222222223,1.09928382700598,0.04224352077660948,1.616510513362983,0.19475170146892376
829,reasoning,presentation,0.4617676266137041,0.8848063555114201,0.44885799404170806,0.9720430107526882,1.0985940649023087,0.040283063244478334,4.120388052860744,0.16674150148581135
816,solving,evaluation,0.5233366434955313,0.7934458788480635,0.4558093346573982,0.8709677419354838,1.0977027736283256,0.04057003162569067,1.6007944389275066,0.18672839506172842
888,manufacturing,review,0.48361469712015887,0.7954319761668321,0.42204568023833167,0.8726899383983573,1.097127051145001,0.037363086004719714,1.6068488323669798,0.17143891402714945
644,git,processing,0.7120158887785502,0.7606752730883813,0.5938430983118173,0.8340306834030683,1.0964345929332764,0.05223021767192704,1.441981757946475,0.3054088340445159
598,document,MATLAB M-File,0.7418073485600795,0.7944389275074478,0.6454816285998014,0.8701472556894244,1.095297858099063,0.056160994192588354,1.583032176824088,0.33698224852071024
597,MATLAB M-File,document,0.7944389275074478,0.7418073485600795,0.6454816285998014,0.8125000000000001,1.095297858099063,0.056160994192588354,1.3770274743462436,0.4232627276105538
898,reasoning,description,0.4617676266137041,0.8272095332671301,0.4170804369414101,0.9032258064516129,1.091894822445107,0.03510185405241756,1.7855014895729886,0.1563653136531364
632,database,processing,0.733862959285005,0.7606752730883813,0.608738828202582,0.8294993234100135,1.0904775700703442,0.050507421239013084,1.4036585173625888,0.3117589053103162
631,processing,database,0.7606752730883813,0.733862959285005,0.608738828202582,0.8002610966057442,1.0904775700703442,0.050507421239013084,1.3324246613574264,0.3466862515484013
749,creation,MATLAB M-File,0.5700099304865939,0.7944389275074478,0.49354518371400197,0.8658536585365852,1.0898932926829268,0.04070710586963744,1.5323643585808422,0.19181602315974358
726,creation,description,0.5700099304865939,0.8272095332671301,0.5134061569016882,0.9006968641114983,1.0888376256425916,0.041888508346243636,1.7400303141169713,0.18974720920571253
837,training,processing,0.5362462760675273,0.7606752730883813,0.4438927507447865,0.8277777777777778,1.08821438932405,0.03598346825449267,1.3896274465835927,0.174798442148226
899,failure,processing,0.5014895729890765,0.7606752730883813,0.4141012909632572,0.8257425742574257,1.0855388672026471,0.03263057307881573,1.3733975805723566,0.1580679679364079
755,creation,review,0.5700099304865939,0.7954319761668321,0.4915590863952334,0.8623693379790941,1.0841522139137925,0.03815496095356341,1.4863550086106123,0.18051648120932198
923,failure,document,0.5014895729890765,0.7418073485600795,0.40218470705064546,0.8019801980198019,1.0811165453894787,0.03017605658109218,1.3038728897715983,0.1505090748118634
885,image,MATLAB M-File,0.4925521350546177,0.7944389275074478,0.423038728897716,0.8588709677419354,1.0811038306451612,0.031736138983421924,1.456547027947226,0.14783679244416278
