name,instance_type,uri,also_known_as,data visualization,data validation,data reasoning,neutral
.p21,data format specification,http://www.wikidata.org/entity/Q3509055,,,,,
configuration management,process,http://www.wikidata.org/entity/Q1153495,,,,,
semantic lexicon,process,http://www.wikidata.org/entity/Q2568040,,,,,
solving,process,http://www.wikidata.org/entity/Q730920,,,,,
workflow management,process,http://www.wikidata.org/entity/Q1054938,,,,,
product data management,process,http://www.wikidata.org/entity/Q377960,,,,,
system identification,process,http://www.wikidata.org/entity/Q1366192,,,,,
link analysis,process,http://www.wikidata.org/entity/Q6554294,,,,,
knowledge classification,process,http://www.wikidata.org/entity/Q110402867,,,,,
analyzing,process,http://www.wikidata.org/entity/Q217602,,,,,
system integration,process,http://www.wikidata.org/entity/Q1665453,,,,,
automated reasoning,process,http://www.wikidata.org/entity/Q2555318,,,,,
product support,process,http://www.wikidata.org/entity/Q7247795,,,,,
ontological engineering,process,http://www.wikidata.org/entity/Q1027508,,,,,
knowledge exploration,process,http://www.wikidata.org/entity/Q120969828,,,,,
knowledge representation and reasoning,process,http://www.wikidata.org/entity/Q3478658,,,,,
project planning,process,http://www.wikidata.org/entity/Q2112558,,,,,
flight test,process,http://www.wikidata.org/entity/Q3319996,,,,,
file server,software,http://www.wikidata.org/entity/Q513349,,,,,
inverted index,software,http://www.wikidata.org/entity/Q1671754,,,,,
conceptual modelling,process,["http://www.wikidata.org/entity/Q2623243"],,,,,
digital mockup,process,["http://www.wikidata.org/entity/Q1224766"],,,,,
concept design,process,["http://www.wikidata.org/entity/Q63242760"],,,,,
information search,process,["http://www.wikidata.org/entity/Q118629381"],,,,,
tixi,software,["http://www.wikidata.org/entity/Q36981378"],,,,,
vivisimo,software,["http://www.wikidata.org/entity/Q4356880"],,,,,
expert system,software,["http://www.wikidata.org/entity/Q184609"],,,,,
web server,software,["http://www.wikidata.org/entity/Q11288"],,,,,
triple store,software,["http://www.wikidata.org/entity/Q3539533"],,,,,
networkx,software,["http://www.wikidata.org/entity/Q7000696"],,,,,
point clouds,data item,["http://www.wikidata.org/entity/Q1899648"],,,,,
mind map,data item,["http://www.wikidata.org/entity/Q192833"],,,,,
live video,data item,["http://www.wikidata.org/entity/Q430525"],,,,,
business logic,data item,["http://www.wikidata.org/entity/Q1204997"],,,,,
solr,data model,["http://www.wikidata.org/entity/Q2858103"],,,,,
mdax,data model,["http://www.wikidata.org/entity/Q595622"],,,,,
idef1x,data model,["http://www.wikidata.org/entity/Q385210"],,,,,
owl dl,data model,["http://www.wikidata.org/entity/Q123414430"],,,,,
wordnet,data model,["http://www.wikidata.org/entity/Q2594143"],,,,,
vrml,data format specification,["http://www.wikidata.org/entity/Q176061"],,,,,
cpacs,data format specification,["http://www.wikidata.org/entity/Q21410994"],,,,,
product design,process,"["http://www.wikidata.org/entity/Q1043226", "http://www.wikidata.org/entity/Q59279732"]",,,,,
customer service,process,"["http://www.wikidata.org/entity/Q1060653", "http://www.wikidata.org/entity/Q81156366"]",,,,,
authoring,process,"["http://www.wikidata.org/entity/Q120970727", "http://www.wikidata.org/entity/Q4825927"]",,,,,
data validation,process,"["http://www.wikidata.org/entity/Q3306762", "http://www.wikidata.org/entity/Q84597300"]",,,,,
information sharing,process,"["http://www.wikidata.org/entity/Q6031064", "http://www.wikidata.org/entity/Q79193283"]",,,,,
detailed,process,"["http://www.wikidata.org/entity/Q109348526", "http://www.wikidata.org/entity/Q230436"]",,,,,
neo4j,software,"["http://www.wikidata.org/entity/Q107381824", "http://www.wikidata.org/entity/Q1628290"]",,,,,
knowledge base,data item,"["http://www.wikidata.org/entity/Q593744", "http://www.wikidata.org/entity/Q73908613"]",,,,,
manufacturing method,data item,"["http://www.wikidata.org/entity/P2079", "http://www.wikidata.org/entity/Q122904603"]",,,,,
sparql,data model,"["http://www.wikidata.org/entity/Q124455442", "http://www.wikidata.org/entity/Q54871"]",,,,,
fortan,data model,"["http://www.wikidata.org/entity/Q1135469", "http://www.wikidata.org/entity/Q122765345"]",,,,,
addam,data model,"["http://www.wikidata.org/entity/Q15688378", "http://www.wikidata.org/entity/Q50234285"]",,,,,
parasolid,data format specification,"["http://www.wikidata.org/entity/Q389964", "http://www.wikidata.org/entity/Q28975638"]",,,,,
json,data format specification,"["http://www.wikidata.org/entity/Q2063", "http://www.wikidata.org/entity/Q19281804"]",,,,,
enterprise resource planning,process,"["http://www.wikidata.org/entity/Q131508", "http://www.wikidata.org/entity/Q61044584", "http://www.wikidata.org/entity/Q123011478"]",,,,,
information classification,process,"["http://www.wikidata.org/entity/Q59157145", "http://www.wikidata.org/entity/Q846498", "http://www.wikidata.org/entity/P10129"]",,,,,
knowledge discovery,process,"["http://www.wikidata.org/entity/Q123818584", "http://www.wikidata.org/entity/Q172491", "http://www.wikidata.org/entity/Q1582085"]",,,,,
knowledge engineering,process,"["http://www.wikidata.org/entity/Q1540472", "http://www.wikidata.org/entity/Q113327870", "http://www.wikidata.org/entity/Q99558239"]",,,,,
decision support,process,"["http://www.wikidata.org/entity/Q330268", "http://www.wikidata.org/entity/Q1641902", "http://www.wikidata.org/entity/Q77632968"]",,,,,
data visualization,process,"["http://www.wikidata.org/entity/Q6504956", "http://www.wikidata.org/entity/Q55954124", "http://www.wikidata.org/entity/Q56904334"]",,,,,
spss,software,"["http://www.wikidata.org/entity/Q181596", "http://www.wikidata.org/entity/Q7392669", "http://www.wikidata.org/entity/Q48784349"]",,,,,
reasoner,software,"["http://www.wikidata.org/entity/Q3929429", "http://www.wikidata.org/entity/Q1602979", "http://www.wikidata.org/entity/Q21498397"]",,,,,
t-rex,software,"["http://www.wikidata.org/entity/Q7667841", "http://www.wikidata.org/entity/Q508937", "http://www.wikidata.org/entity/Q87583323"]",,,,,
flops,software,"["http://www.wikidata.org/entity/Q188768", "http://www.wikidata.org/entity/Q105693690", "http://www.wikidata.org/entity/P7256"]",,,,,
knowledge graph,data item,"["http://www.wikidata.org/entity/Q33002955", "http://www.wikidata.org/entity/Q96757369", "http://www.wikidata.org/entity/Q126085568"]",,,,,
how it works,data item,"["http://www.wikidata.org/entity/Q114597415", "http://www.wikidata.org/entity/Q42590861", "http://www.wikidata.org/entity/Q102362806"]",,,,,
sql,data model,"["http://www.wikidata.org/entity/Q47607", "http://www.wikidata.org/entity/Q3943857", "http://www.wikidata.org/entity/Q3373000"]",,,,,
yawl,data model,"["http://www.wikidata.org/entity/Q1137441", "http://www.wikidata.org/entity/Q8045679", "http://www.wikidata.org/entity/Q2164484"]",,,,,
flat file,data format specification,"["http://www.wikidata.org/entity/Q15140909", "http://www.wikidata.org/entity/Q117800505", "http://www.wikidata.org/entity/Q11819727"]",,,,,
dxf,data format specification,"["http://www.wikidata.org/entity/Q691652", "http://www.wikidata.org/entity/Q28975794", "http://www.wikidata.org/entity/Q28975796"]",,,,,
mpeg,data format specification,"["http://www.wikidata.org/entity/Q3328425", "http://www.wikidata.org/entity/Q72518085", "http://www.wikidata.org/entity/Q11273"]",,,,,
reasoning,process,"["http://www.wikidata.org/entity/Q1156402", "http://www.wikidata.org/entity/Q2555318", "http://www.wikidata.org/entity/Q38144684", "http://www.wikidata.org/entity/Q112603382"]",,,,,
calculating,process,"["http://www.wikidata.org/entity/Q12892258", "http://www.wikidata.org/entity/Q622821", "http://www.wikidata.org/entity/Q2152345", "http://www.wikidata.org/entity/Q20776247"]",,,,,
data storage,process,"["http://www.wikidata.org/entity/Q115689039", "http://www.wikidata.org/entity/Q66221", "http://www.wikidata.org/entity/Q15141646", "http://www.wikidata.org/entity/Q5227356"]",,,,,
general assembly,process,"["http://www.wikidata.org/entity/Q2100614", "http://www.wikidata.org/entity/Q54233001", "http://www.wikidata.org/entity/Q2903054", "http://www.wikidata.org/entity/Q5532318"]",,,,,
brics,software,"["http://www.wikidata.org/entity/Q11909980", "http://www.wikidata.org/entity/Q11909981", "http://www.wikidata.org/entity/Q105999890", "http://www.wikidata.org/entity/Q243630"]",,,,,
