,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
179,Web Ontology Language (OWL),ontology,0.5609756097560976,0.5853658536585366,0.5487804878048781,0.9782608695652174,1.671195652173913,0.22040452111838194,19.073170731707332,0.914814814814815
178,ontology,Web Ontology Language (OWL),0.5853658536585366,0.5609756097560976,0.5487804878048781,0.9375000000000001,1.671195652173913,0.22040452111838194,7.024390243902451,0.968627450980392
285,reasoning,ontology,0.5609756097560976,0.5853658536585366,0.45121951219512196,0.8043478260869564,1.3740942028985506,0.1228435455086258,2.1192411924119234,0.6201201201201201
319,manufacturing,material,0.4695121951219512,0.6585365853658537,0.42073170731707316,0.8961038961038961,1.3607503607503606,0.11154074955383697,3.2865853658536572,0.49975012493753107
334,image,review,0.43902439024390244,0.7682926829268293,0.40853658536585363,0.9305555555555555,1.2111992945326278,0.07123735871505055,3.336585365853654,0.31083711875405573
158,material,evaluation,0.6585365853658537,0.7621951219512195,0.573170731707317,0.8703703703703702,1.1419259259259258,0.07123735871505044,1.834494773519162,0.36398176291793255
265,knowledge graph (kg),evaluation,0.5365853658536586,0.7621951219512195,0.4634146341463415,0.8636363636363636,1.1330909090909091,0.05443188578227243,1.7439024390243902,0.2534626038781162
213,api,simulation,0.6219512195121951,0.7378048780487805,0.5121951219512195,0.823529411764706,1.1161886242100147,0.05331647828673408,1.485772357723578,0.2753456221198156
196,api,review,0.6219512195121951,0.7682926829268293,0.5304878048780488,0.8529411764705883,1.1101774042950514,0.05264723378941111,1.5756097560975617,0.2625139043381537
195,Microsoft Word,review,0.6219512195121951,0.7682926829268293,0.5304878048780488,0.8529411764705883,1.1101774042950514,0.05264723378941111,1.5756097560975617,0.2625139043381537
194,word,review,0.6219512195121951,0.7682926829268293,0.5304878048780488,0.8529411764705883,1.1101774042950514,0.05264723378941111,1.5756097560975617,0.2625139043381537
268,knowledge graph (kg),processing,0.5365853658536586,0.7804878048780488,0.4634146341463415,0.8636363636363636,1.1065340909090908,0.04461629982153481,1.6097560975609755,0.20775623268698068
169,material,review,0.6585365853658537,0.7682926829268293,0.5548780487804879,0.8425925925925927,1.0967078189300412,0.0489292088042832,1.4720229555236735,0.25824175824175843
281,knowledge graph (kg),review,0.5365853658536586,0.7682926829268293,0.45121951219512196,0.8409090909090908,1.0945165945165944,0.038964901844140365,1.456445993031358,0.18634423897581778
297,presentation,description,0.4573170731707317,0.8780487804878049,0.43902439024390244,0.96,1.0933333333333333,0.0374776918500892,3.0487804878048754,0.1573033707865167
193,word,processing,0.6219512195121951,0.7804878048780488,0.5304878048780488,0.8529411764705883,1.0928308823529413,0.04506246281975018,1.492682926829269,0.22469410456062308
201,Microsoft Word,processing,0.6219512195121951,0.7804878048780488,0.5304878048780488,0.8529411764705883,1.0928308823529413,0.04506246281975018,1.492682926829269,0.22469410456062308
165,api,database,0.6219512195121951,0.8353658536585366,0.5670731707317073,0.9117647058823528,1.0914555603263203,0.047516359309934586,1.865853658536583,0.22164412070759637
166,material,processing,0.6585365853658537,0.7804878048780488,0.5609756097560976,0.8518518518518519,1.0914351851851851,0.04699583581201672,1.4817073170731707,0.2453416149068326
229,training,description,0.524390243902439,0.8780487804878049,0.5,0.9534883720930232,1.0859173126614987,0.03955978584176084,2.6219512195121903,0.16635397123201995
305,image,access,0.43902439024390244,0.9085365853658537,0.4329268292682927,0.986111111111111,1.0853840417598806,0.03405710886377156,6.585365853658505,0.14023270055113285
164,material,development,0.6585365853658537,0.7987804878048781,0.5670731707317073,0.861111111111111,1.0780322307039862,0.04104699583581195,1.4487804878048771,0.2119815668202762
93,processing,database,0.7804878048780488,0.8353658536585366,0.7012195121951219,0.8984374999999999,1.075501824817518,0.04922665080309341,1.6210131332082538,0.3198067632850243
92,database,processing,0.8353658536585366,0.7804878048780488,0.7012195121951219,0.8394160583941606,1.075501824817518,0.04922665080309341,1.3669623059866958,0.42640901771336553
343,inference,description,0.4268292682926829,0.8780487804878049,0.4024390243902439,0.942857142857143,1.073809523809524,0.027662105889351585,2.134146341463418,0.11992263056092846
259,Web Ontology Language (OWL),processing,0.5609756097560976,0.7804878048780488,0.4695121951219512,0.8369565217391303,1.0723505434782605,0.03167757287328965,1.3463414634146327,0.15367965367965342
335,presentation,database,0.4573170731707317,0.8353658536585366,0.40853658536585363,0.8933333333333332,1.069391727493917,0.026509518143961908,1.543445121951218,0.1195706858963608
200,api,development,0.6219512195121951,0.7987804878048781,0.5304878048780488,0.8529411764705883,1.0678042209250114,0.033685306365258794,1.3682926829268296,0.16796440489432712
239,ontology,processing,0.5853658536585366,0.7804878048780488,0.4878048780487805,0.8333333333333334,1.0677083333333333,0.030933967876264123,1.3170731707317074,0.1529411764705882
207,api,processing,0.6219512195121951,0.7804878048780488,0.5182926829268293,0.8333333333333334,1.0677083333333333,0.03286734086853066,1.3170731707317074,0.1677419354838711
219,api,evaluation,0.6219512195121951,0.7621951219512195,0.5060975609756098,0.8137254901960784,1.0676078431372549,0.032049375371802524,1.2766367137355583,0.16750874465604365
222,Microsoft Word,evaluation,0.6219512195121951,0.7621951219512195,0.5060975609756098,0.8137254901960784,1.0676078431372549,0.032049375371802524,1.2766367137355583,0.16750874465604365
223,word,evaluation,0.6219512195121951,0.7621951219512195,0.5060975609756098,0.8137254901960784,1.0676078431372549,0.032049375371802524,1.2766367137355583,0.16750874465604365
68,review,access,0.7682926829268293,0.9085365853658537,0.7439024390243902,0.9682539682539683,1.065729199957388,0.045880428316478206,2.881097560975609,0.2661777394305431
